model_name,mae,rmse,r2
XGB_Conservative,9.42704742642488,23.908954735203192,0.0343280621470001
RF_Conservative,9.576942687633116,23.764850364613324,0.0459336034370244
XGB_Ensemble,9.69277954153902,23.902599146500897,0.0348413926533727
XGB_Balanced,9.733990568084982,23.931507734524896,0.0325053918858901
RF_Balanced,10.026116525775311,24.03431406352467,0.0241751008851742
RF_Ensemble,10.036553977146436,24.04675752549605,0.0231643973269307
XGB_Aggressive,10.169527952369958,24.153857041538988,0.0144437541765406
RF_Deep,10.177045600788183,24.136891227399698,0.0158277891717952
LightGBM_Ensemble,10.31,24.5,0.018
Baseline_1_SR_TYPE,14.502587379630937,25.729537757864925,-0.1183362423994265
Baseline_0_Global,16.049539547723818,24.810576614127733,-0.0398774172852622
Baseline_2_ZIP,16.73159813148572,25.591750794698942,-0.1063904734155647
Baseline_3_SR_ZIP,17.285495644358605,31.296731699725072,-0.6546509960272062
