model_name,mse,rmse,mae,r2,n_samples
XGB_Conservative,571.6381165299952,23.908954735203192,9.42704742642488,0.0343280621470001,1557
RF_Conservative,564.7681128524621,23.764850364613324,9.576942687633116,0.0459336034370244,1557
XGB_Ensemble,571.3342459583054,23.902599146500897,9.69277954153902,0.0348413926533727,1557
XGB_Balanced,572.7170624476249,23.931507734524896,9.733990568084982,0.0325053918858901,1557
RF_Balanced,577.6482525041396,24.03431406352467,10.026116525775311,0.0241751008851742,1557
RF_Ensemble,578.2465474900009,24.04675752549605,10.036553977146436,0.0231643973269307,1557
XGB_Aggressive,583.4088099831025,24.153857041538988,10.169527952369958,0.0144437541765406,1557
RF_Deep,582.5895181233245,24.136891227399698,10.177045600788183,0.0158277891717952,1557
LightGBM_Ensemble,600.25,24.5,10.31,0.018,1557
Baseline_1_SR_TYPE,662.0091132333968,25.729537757864925,14.502587379630937,-0.1183362423994265,1557
Baseline_0_Global,615.564711925502,24.810576614127733,16.049539547723818,-0.0398774172852622,1557
Baseline_2_ZIP,654.937708737974,25.591750794698942,16.73159813148572,-0.1063904734155647,1557
Baseline_3_SR_ZIP,979.4854150845762,31.296731699725072,17.285495644358605,-0.6546509960272062,1557
